ra_x,dec_x,source_id,cntr_01,dist_x,pang_x,ra_01,dec_01,designation,ra_y,dec_y,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,_merge
201.365,-43.019,NGC 5128,1.0,0.830776,162.673944,201.365,-43.019,J132527.62-430109.1,201.365094,-43.0192203,0.0263,0.0252,-0.0031,5.262,0.051,21.1,19.1,4.757,0.041,26.4,12.23,2.621,0.012,89.4,20.43,0.279,0.015,71.3,18.98,1.0,0.0,0.1,0.097,0.075,0.0,-65.0,22.0,-305.0,22.0,hhhh,5.0,3344,AAAA,0.0,46.0,46.0,46.0,46.0,24.0,24.0,24.0,24.0,both
184.741,47.303,MESSIER 106,3.0,5.022737,-43.454463,184.741,47.303,J121857.50+471814.4,184.7395849,47.3040128,0.0301,0.0302,-0.0049,8.53,0.023,47.4,50.16,8.19,0.02,53.9,27.56,5.482,0.015,70.8,9.149,3.328,0.02,53.2,5.967,1.0,0.0,0.0,0.0,0.0,0.0,218.0,47.0,-347.0,60.0,0000,5.0,2211,AAAA,0.0,34.0,34.0,34.0,34.0,19.0,19.0,19.0,19.0,both
202.468,47.198,MESSIER 051,4.0,6.295556,-65.412743,202.468,47.198,J132951.75+471155.4,202.4656596,47.1987276,0.0304,0.0294,-0.0027,9.855,0.023,46.9,123.7,9.661,0.021,52.7,86.92,5.366,0.013,83.2,114.0,2.931,0.027,40.0,57.71,3.0,0.0,0.0,0.0,0.0,0.0,326.0,32.0,-1422.0,33.0,hh00,3.0,n3n4,AAAA,0.0,32.0,32.0,32.0,32.0,18.0,18.0,18.0,18.0,both
148.963,69.679,MESSIER 082,5.0,4.934001,60.594118,148.963,69.679,J095551.94+694046.8,148.9664382,69.6796729,0.0014,0.0014,-0.0003,3.669,0.383,2.8,0.2359,3.286,0.053,20.6,15.66,-1.666,0.321,3.4,0.1714,-4.348,0.001,1253.0,5886.0,1.0,0.0,0.219,0.161,0.328,0.441,-26.0,31.0,-107.0,30.0,hhhh,5.0,130n,CABA,0.0,39.0,39.0,39.0,39.0,19.0,19.0,19.0,19.0,both
67.704,64.848,NGC 1569,6.0,8.361842,-51.691199,67.704,64.848,J043047.93+645057.9,67.6997115,64.8494398,0.0427,0.0393,-0.0248,9.45,0.028,38.3,442.4,9.095,0.026,42.3,324.4,5.004,0.017,65.3,75.38,0.956,0.016,69.1,87.63,3.0,0.0,0.0,0.0,0.0,0.0,-5809.0,42.0,-200.0,37.0,hhdd,3.0,nn23,AAAA,0.0,33.0,33.0,33.0,33.0,17.0,17.0,17.0,17.0,both
11.888,-25.288,NGC 0253,8.0,0.993958,158.563643,11.888,-25.288,J004733.14-251717.7,11.8881116,-25.288257,0.0049,0.0039,0.001,5.757,0.034,32.3,44.21,5.028,0.029,37.4,33.4,0.087,0.024,45.5,0.2416,-2.656,0.002,515.7,371.4,1.0,0.0,0.124,0.124,0.308,0.249,-1351.0,37.0,539.0,33.0,HHHH,5.0,nnnn,AAAA,0.0,27.0,27.0,27.0,27.0,14.0,14.0,14.0,14.0,both
35.639,42.349,NGC 0891,10.0,3.895011,-134.133495,35.639,42.349,J022233.10+422053.6,35.6379493,42.3482466,0.0296,0.0289,-0.0054,8.741,0.021,52.3,170.3,8.161,0.019,56.2,103.7,5.084,0.015,71.8,58.24,2.955,0.026,41.6,52.91,2.0,0.0,0.0,0.0,0.0,0.0,-1700.0,27.0,-2463.0,26.0,hhhd,5.0,nn11,AAAA,0.0,27.0,27.0,27.0,27.0,12.0,12.0,12.0,12.0,both
49.328,-41.106,NGC 1291:[LFF2012] 084,11.0,7.368795,-164.98493,49.328,-41.106,J031718.55-410628.7,49.3272962,-41.107977,0.0294,0.0288,0.005,7.194,0.027,40.4,68.63,7.72,0.019,56.2,56.47,6.691,0.015,72.3,26.18,5.091,0.031,35.3,3.117,1.0,0.0,0.042,0.0,0.0,0.0,-131.0,22.0,-45.0,22.0,0000,5.0,3331,AAAA,0.0,65.0,65.0,65.0,65.0,33.0,33.0,33.0,33.0,both
190.53,32.542,NGC 4631,12.0,9.053783,69.702218,190.53,32.542,J124207.87+323234.3,190.5327981,32.5428724,0.0283,0.0282,-0.0052,9.175,0.022,50.4,149.4,8.79,0.02,54.7,93.85,4.619,0.015,74.1,55.92,1.799,0.015,70.3,81.42,1.0,0.0,0.0,0.0,0.0,0.0,-4868.0,28.0,95.0,29.0,hhhh,3.0,n333,AAAA,11.0,27.0,27.0,27.0,27.0,14.0,14.0,14.0,14.0,both
192.721,41.12,MESSIER 094,13.0,1.40998,58.249431,192.721,41.12,J125053.14+410712.7,192.7214421,41.1202061,0.0264,0.0263,-0.0044,5.611,0.048,22.6,31.2,6.12,0.019,56.3,109.1,4.337,0.013,83.0,59.12,2.036,0.019,56.1,27.09,1.0,0.0,0.097,0.04,0.0,0.0,245.0,26.0,-494.0,25.0,hhh0,5.0,4n43,AAAA,0.0,33.0,33.0,33.0,33.0,18.0,18.0,18.0,18.0,both
196.365,-49.468,NGC 4945,14.0,1.444546,-95.506067,196.365,-49.468,J130527.45-492804.9,196.3643854,-49.4680385,0.027,0.0254,0.0029,7.768,0.023,48.0,65.95,6.498,0.02,55.1,36.32,2.622,0.011,102.1,32.96,-0.189,0.017,65.4,27.83,1.0,0.0,0.0,0.002,0.042,0.0,27.0,22.0,-4.0,22.0,0hhh,5.0,2444,AAAA,0.0,50.0,50.0,50.0,50.0,27.0,27.0,27.0,27.0,both
172.005,78.993,UGC 06456,16.0,3.261849,-157.154801,172.005,78.993,J112800.75+785931.7,172.0031577,78.992165,0.0712,0.0713,0.016,15.125,0.033,32.7,4.8,14.647,0.045,24.0,1.591,10.965,0.081,13.4,1.35,6.886,0.068,15.9,1.439,2.0,0.0,0.0,0.0,0.0,0.0,-429.0,721.0,-789.0,882.0,0000,1.0,0011,AAAA,0.0,51.0,51.0,50.0,51.0,16.0,25.0,24.0,25.0,both
267.365,70.145,NGC 6503,17.0,5.957336,-101.16874,267.365,70.145,J174926.45+700840.8,267.3602201,70.1446794,0.034,0.0359,0.0049,10.18,0.023,48.0,94.95,10.102,0.022,50.4,56.85,7.698,0.022,48.9,33.69,5.626,0.045,24.2,13.65,2.0,0.0,0.0,0.0,0.0,0.0,-828.0,24.0,-388.0,24.0,hhd0,5.0,3331,AAAA,0.0,151.0,151.0,151.0,151.0,77.0,77.0,77.0,77.0,both
186.454,33.547,NGC 4395,18.0,1.088464,-108.113185,186.454,33.547,J122548.87+333248.8,186.4536552,33.546906,0.0374,0.0374,-0.0053,12.624,0.025,44.0,6.748,11.839,0.023,47.6,1.676,8.605,0.024,45.2,1.037,5.519,0.037,29.1,0.9281,1.0,0.0,0.0,0.0,0.0,0.0,103.0,46.0,93.0,47.0,0000,5.0,4500,AAAA,0.0,28.0,28.0,28.0,28.0,15.0,15.0,15.0,15.0,both
184.375,37.809,NGC 4244,20.0,8.423295,-132.064124,184.375,37.809,J121729.47+374826.7,184.3728014,37.8074324,0.0389,0.0394,-0.0085,11.795,0.023,48.2,72.27,11.835,0.024,46.1,19.03,9.271,0.038,28.9,3.73,7.053,0.114,9.5,1.109,1.0,0.0,0.0,0.0,0.0,0.0,-170.0,56.0,-468.0,63.0,0000,5.0,1000,AAAB,0.0,28.0,28.0,27.0,27.0,14.0,14.0,13.0,14.0,both
181.763,43.065,NGC 4111,21.0,2.534106,1.427312,181.763,43.065,J120703.12+430356.5,181.763024,43.0657037,0.0298,0.0294,-0.0063,8.225,0.023,46.9,45.12,8.221,0.019,58.0,37.66,7.009,0.015,71.0,10.58,5.229,0.03,36.1,1.185,1.0,0.0,0.0,0.0,0.0,0.0,10.0,32.0,221.0,32.0,0000,5.0,3200,AAAA,0.0,29.0,29.0,29.0,29.0,16.0,16.0,16.0,16.0,both
187.63,41.65,NGC 4485,22.0,4.796021,37.282045,187.63,41.65,J123031.45+413903.8,187.63108,41.65106,0.0314,0.0315,-0.0045,11.681,0.025,44.1,91.22,11.381,0.022,49.6,39.96,6.651,0.015,71.1,45.21,3.807,0.021,52.5,56.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,000h,3.0,2124,AAAA,0.0,27.0,27.0,27.0,27.0,15.0,15.0,15.0,15.0,both
161.958,12.582,MESSIER 105,24.0,4.82986,-107.390842,161.958,12.582,J104749.60+123453.7,161.9566882,12.581599,0.0318,0.0306,-0.0048,7.513,0.025,43.9,67.37,7.868,0.02,54.6,52.23,7.327,0.018,62.0,13.83,6.195,0.047,23.0,1.583,1.0,0.0,0.031,0.0,0.0,0.0,-193.0,37.0,-362.0,34.0,0000,5.0,1100,AAAA,1100.0,24.0,24.0,24.0,24.0,13.0,13.0,13.0,13.0,both
114.216,65.6,NGC 2403,25.0,5.837017,145.062619,114.216,65.6,J073652.37+653555.2,114.2182476,65.5986708,0.0731,0.0771,-0.0116,11.815,0.038,28.7,36.51,11.619,0.038,28.5,18.4,8.784,0.07,15.6,4.845,6.771,0.147,7.4,1.396,3.0,0.0,0.0,0.0,0.0,0.0,276.0,58.0,538.0,61.0,ddPP,3.0,11nn,AAAB,0.0,32.0,32.0,32.0,32.0,17.0,17.0,11.0,17.0,both
167.88,55.674,MESSIER 108,26.0,1.511374,-39.873393,167.88,55.674,J111131.08+554027.5,167.8795227,55.6743222,0.0275,0.0262,-0.0024,10.075,0.02,54.7,151.6,9.602,0.018,60.7,96.64,5.511,0.013,82.0,104.5,2.512,0.022,49.8,56.67,2.0,0.0,0.0,0.0,0.0,0.0,-3041.0,28.0,-25.0,28.0,hhhd,5.0,n3n4,AAAA,0.0,33.0,33.0,33.0,33.0,20.0,20.0,20.0,20.0,both
204.983,-31.64,NGC 5253,30.0,0.696596,135.536776,204.983,-31.64,J133955.95-313824.4,204.9831592,-31.6401381,0.0269,0.0227,0.0058,9.267,0.023,46.2,23.5,7.524,0.02,53.5,4.69,2.787,0.01,106.6,6.102,-0.261,0.011,102.8,4.668,1.0,0.0,0.0,0.0,0.094,0.0,163.0,24.0,29.0,24.0,0000,5.0,1334,AAAA,1211.0,33.0,33.0,33.0,33.0,21.0,21.0,21.0,21.0,both
24.174,15.783,MESSIER 074,33.0,2.518736,10.997587,24.174,15.783,J013641.79+154701.2,24.1741387,15.7836868,0.0451,0.0411,-0.0155,10.655,0.023,46.3,73.72,10.695,0.023,46.3,31.6,9.342,0.074,14.6,3.467,8.271,0.374,2.9,1.337,3.0,0.0,0.001,0.0,0.0,0.005,71.0,31.0,77.0,31.0,0000,5.0,310n,AAAC,4400.0,33.0,33.0,30.0,30.0,23.0,23.0,0.0,23.0,both
