# ObsID,unabsorbed,model,Cstat,nH,nH error plus,nH error minus,gamma,gamma error plus,gamma error minus,0.3-7.5 flux,xflux error plus,xflux_error_minus,2-10 flux,flux210 error plus,flux210 error minus,Soft flux,fluxsoft error plus,fluxsoft error minus,Medium flux,fluxmed error plus,fluxmed error minus,Hard flux,fluxhard error plus,fluxhard error minus,Sum flux,fluxsum error plus,fluxsum error minus,Test Statistic,Ce,Cv,CXO name,RA,Dec,Z,galactic nH,counts,luminosity,luminosity error,Flux_OIII_5006,Flux_OIII_5006_err,Fx/F[OIII],Fx/F[OIII].1,compton thick,srcid,src_num,detid,observation_id,observation_oid,ra,dec,duration,IAUNAME,ra_2,dec_2,IAUstripped,MJD,FIBERID,PLATE,CSC21P_name,CHANDRA_OBSID, OBSDATE, TIME
10547,True,main,426.3741637211506,0.001769093023893,0.0879858460867979,,1.7316417258260923,0.2980405077466395,0.2980405077466395,4.6991242031578854e-14,8.538697827487475e-15,8.538697827487475e-15,3.3862616428138614e-14,2.1664939650289255e-14,2.1664939650289255e-14,4.601268201660026e-15,5.0926490514370175e-14,5.0926490514370175e-14,1.8111689524512272e-14,3.7415744384068477e-14,3.7415744384068477e-14,1.5052962639750824e-14,4.047633705327611e-14,4.047633705327611e-14,3.7765582840786645e-14,1.7762683564717323e-14,1.7762683564717323e-14,12.778476868007628,180.99875798807844,368.72609939594867,2CXO J001544.1+171602,3.933901739147871,17.26723686108447,0.48664838,0.0419,47,4.3183786127573663e+43,7.846851558901176e+42,77.89472,10.55857,60.3266075435907,13.675856403554834,False,202021902010010.0,10.0,102021902010010.0,0202190201,57587.0,3.9338959480466,17.26741642391,24981.0,4XMM J001544.1+171602,3.933901739147871,17.26723686108447,J001544.1+171602,56270.0,113.0,6111.0,2CXO J001544.1+171602,10547,2008-10-29,9.9
15046,True,main,689.6718989723258,0.0022970829950758,0.0282781524962929,,1.5082184337439064,0.1473538234173347,0.1473538234173347,1.8676525840676617e-13,1.5726699575309282e-14,1.5726699575309282e-14,1.6349835382183448e-13,3.898867832111954e-14,3.898867832111954e-14,1.0133555974065447e-14,1.9235478287355947e-13,1.9235478287355947e-13,6.226965264012129e-14,1.402225885024561e-13,1.402225885024561e-13,6.728476926909928e-14,1.3520747426073852e-13,1.3520747426073852e-13,1.3975432117974884e-13,6.273316115973785e-14,6.273316115973785e-14,15.416018559247291,362.1560328857568,451.3570583469591,2CXO J015024.3+223139,27.60130982825308,22.527783548755025,0.25525594,0.0644,187,3.7833438273423327e+43,3.185791204974882e+42,90.42487,9.899306,206.54191530136143,28.52633289676435,False,202044101010008.0,8.0,102044101010008.0,0204410101,57826.0,27.601170070355,22.527539014585,10035.0,4XMM J015024.2+223139,27.60130982825308,22.527783548755025,J015024.3+223139,55895.0,316.0,5112.0,2CXO J015024.3+223139,15046,2013-01-01,14.8
5777,True,main,488.6423887916872,7.214387061436076e-05,0.037307428083277,,2.0428865625528587,0.4455684539175409,0.4455684539175409,2.5547837382216873e-14,4.987466254573001e-15,4.987466254573001e-15,1.3195614646526632e-14,1.7338570463994167e-14,1.7338570463994167e-14,4.7269200521548216e-15,2.5808614125297182e-14,2.5808614125297182e-14,1.1095029676144714e-14,1.9442023662999188e-14,1.9442023662999188e-14,6.4353991464778376e-15,2.4100417696718424e-14,2.4100417696718424e-14,2.2262288212470505e-14,8.273233568052059e-15,8.273233568052059e-15,14.765402165117907,202.4232610599216,375.75671205183653,2CXO J015948.6+003021,29.952684622295465,0.5057025436371161,0.40993378,0.0224,55,1.5586073988582025e+43,3.042724004241549e+42,740.7513,47.73425,3.4489088824031593,0.7090311610060581,False,201016402010014.0,14.0,101016402010014.0,0101640201,54912.0,29.952763595883,0.50514427650241,11511.0,4XMM J015948.6+003018,29.952684622295465,0.5057025436371161,J015948.6+003021,55478.0,650.0,4234.0,2CXO J015948.6+003021,5777,2005-09-02,19.9
5626,True,main,772.4522521240663,9.15252644845023e-05,0.0035320139473039,,1.5575890354202089,0.0699931677930114,0.0699931677930114,5.50078551156786e-13,2.1359436878579656e-14,2.1359436878579656e-14,4.38659304991532e-13,1.3277822078702217e-13,1.3277822078702217e-13,4.886300184430078e-14,5.225755526181694e-13,5.225755526181694e-13,1.924108887443485e-13,3.7902774855291377e-13,3.7902774855291377e-13,1.8408310837100672e-13,3.873554660673508e-13,3.873554660673508e-13,4.2543365424383723e-13,1.4600286165232422e-13,1.4600286165232422e-13,11.587183894230611,479.0432554683611,641.1963678600567,2CXO J080421.3+100611,121.08883204838436,10.103212730028536,0.034237914,0.024,746,1.5086486091270224e+42,5.858051485708817e+40,324.6565,14.60562,169.4340175406271,10.069094133183844,False,208434401010012.0,12.0,108434401010012.0,0843440101,70607.0,121.08858373704,10.103237483879,12691.0,4XMM J080421.2+100611,121.08883204838436,10.103212730028536,J080421.3+100611,54139.0,442.0,2419.0,2CXO J080421.3+100611,5626,2004-12-12,19.8
20889,True,ERROR,700.4867288610234,0.0001791439770645,,,-0.797122749587839,,,8.73323990356417e-14,1.0608060845696504e-14,1.0608060845696504e-14,1.9346284443748142e-13,9.551889756982366e-14,9.551889756982366e-14,4.0969655016035845e-17,9.790681079268817e-14,9.790681079268817e-14,3.0093510662792816e-15,9.493658214705967e-14,9.493658214705967e-14,2.4870152693586343e-14,7.307465403630586e-14,7.307465403630586e-14,2.7922181075040843e-14,7.002231201093091e-14,7.002231201093091e-14,17.1203607928888,383.40527574975215,343.0171657435508,2CXO J080534.9+240950,121.39586349998638,24.163961870007373,0.059677996,0.0444,149,7.55334661234604e+41,9.174872250984602e+40,5134.749,64.44721,1.7008114522373283,0.2076935314974401,False,202032802010003.0,3.0,102032802010003.0,0203280201,57687.0,121.39593250297,24.163965130214,7036.0,4XMM J080535.0+240950,121.39586349998638,24.163961870007373,J080534.9+240950,52705.0,158.0,1265.0,2CXO J080534.9+240950,20889,2017-12-21,32.7
20889b,True,ERROR,700.4867288610234,0.0001791439770645,,,-0.797122749587839,,,8.73323990356417e-14,1.0608060845696504e-14,1.0608060845696504e-14,1.9346284443748142e-13,9.551889756982366e-14,9.551889756982366e-14,4.0969655016035845e-17,9.790681079268817e-14,9.790681079268817e-14,3.0093510662792816e-15,9.493658214705967e-14,9.493658214705967e-14,2.4870152693586343e-14,7.307465403630586e-14,7.307465403630586e-14,2.7922181075040843e-14,7.002231201093091e-14,7.002231201093091e-14,17.1203607928888,383.40527574975215,343.0171657435508,2CXO J080535.1+240948,121.3962701799946,24.16334715622733,0.059677996,0.0444,149,7.55334661234604e+41,9.174872250984602e+40,5134.749,64.44721,1.7008114522373283,0.2076935314974401,False,202032802010003.0,3.0,102032802010003.0,0203280201,57687.0,121.39593250297,24.163965130214,7036.0,4XMM J080535.0+240950,121.39586349998638,24.163961870007373,J080534.9+240950,52705.0,158.0,1265.0,2CXO J080535.1+240948,20889,2017-12-21,32.7
2038,True,res,692.3183775054367,0.0399519811432403,0.1005323762875495,,1.9,,,3.800393936516758e-14,6.079969439579263e-15,6.079969439579263e-15,2.3207545725667303e-14,2.0878710290812822e-14,2.0878710290812822e-14,5.220012371899063e-15,3.8865092960767375e-14,3.8865092960767375e-14,1.5855861566650083e-14,2.8230412294523663e-14,2.8230412294523663e-14,1.0868696064664916e-14,3.3220858647128083e-14,3.3220858647128083e-14,3.1952423280662174e-14,1.2133312828060134e-14,1.2133312828060134e-14,ERROR,ERROR,ERROR,2CXO J100059.4+555140,150.24787934990104,55.86116342175639,0.28208083,0.00868,180,9.67932076366746e+42,1.5485230063523878e+42,28.15051,3.799006,135.00266732349638,28.256173080336,False,201109302010047.0,46.0,108027103010046.0,0802710301,68534.0,150.24738369564,55.860898157932,19442.0,4XMM J100059.4+555139,150.24787934990104,55.86116342175639,J100059.4+555140,56624.0,522.0,7084.0,2CXO J100059.4+555140,2038,2001-03-07,26.6
2038,True,res,692.3183775054367,0.0399519811432403,0.1005323762875495,,1.9,,,3.800393936516758e-14,6.079969439579263e-15,6.079969439579263e-15,2.3207545725667303e-14,2.0878710290812822e-14,2.0878710290812822e-14,5.220012371899063e-15,3.8865092960767375e-14,3.8865092960767375e-14,1.5855861566650083e-14,2.8230412294523663e-14,2.8230412294523663e-14,1.0868696064664916e-14,3.3220858647128083e-14,3.3220858647128083e-14,3.1952423280662174e-14,1.2133312828060134e-14,1.2133312828060134e-14,ERROR,ERROR,ERROR,2CXO J100059.4+555140,150.24787934990104,55.86116342175639,0.28208083,0.00868,180,9.67932076366746e+42,1.5485230063523878e+42,28.15051,3.799006,135.00266732349638,28.256173080336,False,201109302010047.0,18.0,108027105010018.0,0802710501,68562.0,150.24732370657,55.860929634883,19449.0,4XMM J100059.4+555139,150.24787934990104,55.86116342175639,J100059.4+555140,56624.0,522.0,7084.0,2CXO J100059.4+555140,2038,2001-03-07,26.6
2038,True,res,692.3183775054367,0.0399519811432403,0.1005323762875495,,1.9,,,3.800393936516758e-14,6.079969439579263e-15,6.079969439579263e-15,2.3207545725667303e-14,2.0878710290812822e-14,2.0878710290812822e-14,5.220012371899063e-15,3.8865092960767375e-14,3.8865092960767375e-14,1.5855861566650083e-14,2.8230412294523663e-14,2.8230412294523663e-14,1.0868696064664916e-14,3.3220858647128083e-14,3.3220858647128083e-14,3.1952423280662174e-14,1.2133312828060134e-14,1.2133312828060134e-14,ERROR,ERROR,ERROR,2CXO J100059.4+555140,150.24787934990104,55.86116342175639,0.28208083,0.00868,180,9.67932076366746e+42,1.5485230063523878e+42,28.15051,3.799006,135.00266732349638,28.256173080336,False,201109302010047.0,108.0,108027110010108.0,0802711001,68930.0,150.24800608601,55.861412620475,22062.0,4XMM J100059.4+555139,150.24787934990104,55.86116342175639,J100059.4+555140,56624.0,522.0,7084.0,2CXO J100059.4+555140,2038,2001-03-07,26.6
2038,True,res,692.3183775054367,0.0399519811432403,0.1005323762875495,,1.9,,,3.800393936516758e-14,6.079969439579263e-15,6.079969439579263e-15,2.3207545725667303e-14,2.0878710290812822e-14,2.0878710290812822e-14,5.220012371899063e-15,3.8865092960767375e-14,3.8865092960767375e-14,1.5855861566650083e-14,2.8230412294523663e-14,2.8230412294523663e-14,1.0868696064664916e-14,3.3220858647128083e-14,3.3220858647128083e-14,3.1952423280662174e-14,1.2133312828060134e-14,1.2133312828060134e-14,ERROR,ERROR,ERROR,2CXO J100059.4+555140,150.24787934990104,55.86116342175639,0.28208083,0.00868,180,9.67932076366746e+42,1.5485230063523878e+42,28.15051,3.799006,135.00266732349638,28.256173080336,False,201109302010047.0,29.0,101477601010029.0,0147760101,56741.0,150.2480909644,55.861478822759,41142.0,4XMM J100059.4+555139,150.24787934990104,55.86116342175639,J100059.4+555140,56624.0,522.0,7084.0,2CXO J100059.4+555140,2038,2001-03-07,26.6
