srcid,src_num,detid,observation_id,observation_oid,ra,dec,duration,IAUNAME,ra_2,dec_2,IAUstripped,MJD,FIBERID,PLATE,CSC21P_name,CHANDRA_OBSID, OBSDATE, TIME
202033608010075,140,106727801010142,0672780101,62595,150.42465310008,2.0659130922614,126275,4XMM J100141.9+020357,150.4248867555845,2.06614075852984,J100141.9+020358,52235.0,231.0,501.0,2CXO J100141.9+020358,8005,2007-04-25,31.6
201109302015076,35,108027101010035,0802710101,68526,150.49216916399,55.526803692157,19841,4XMM J100158.2+553135,150.49290180356007,55.5264832897039,J100158.3+553135,56011.0,80.0,5743.0,2CXO J100158.3+553135,7851,2006-12-27,4.7
201475101010006,48,101475117010048,0147511701,56724,162.70104814772,57.422649082192,99046,4XMM J105048.2+572521,162.7006323779692,57.42259322006356,J105048.1+572521,56625.0,162.0,7095.0,2CXO J105048.1+572521,1674,2001-07-05,4.7
209018305010006,6,109018305010006,0901830501,72359,186.90774015419,8.7353434664731,11704,4XMM J122737.8+084407,186.9076307125941,8.734938430610194,J122737.8+084405,53472.0,566.0,1626.0,2CXO J122737.8+084405,7840,2007-02-13,4.9
201445701010002,3,106711507010003,0671150701,62490,206.90179052961,17.567732940018,9082,4XMM J134736.4+173404,206.90166743381383,17.56793972168584,J134736.4+173404,54233.0,442.0,2742.0,2CXO J134736.4+173404,10561,2008-11-29,2.0
200131401010032,8,108805504010008,0880550401,71616,213.20673277009,-3.1224204950759,56838,4XMM J141249.6-030720,213.2070914558974,-3.122107893524904,J141249.7-030719,52378.0,84.0,916.0,2CXO J141249.7-030719,358,2000-08-14,8.8
201451902010030,57,108040906010057,0804090601,68279,229.06649057775,56.284169910441,37541,4XMM J151616.0+561701,229.0670223994407,56.283780157629536,J151616.0+561701,56453.0,504.0,6796.0,2CXO J151616.0+561701,20830,2017-11-07,51.3
201451902010030,44,108040909010044,0804090901,69917,229.06726041578,56.283620525574,40164,4XMM J151616.0+561701,229.0670223994407,56.283780157629536,J151616.0+561701,56453.0,504.0,6796.0,2CXO J151616.0+561701,20830,2017-11-07,51.3
200731403010015,15,100731403010015,0073140301,54504,241.23971273496,32.881990453109,33025,4XMM J160457.7+325254,241.2404088810074,32.88153257650129,J160457.6+325253,55719.0,723.0,4961.0,2CXO J160457.6+325253,2791,2002-01-07,20.4
200731403010015,12,100731405010012,0073140501,54505,241.24041773135,32.882057455283,33250,4XMM J160457.7+325254,241.2404088810074,32.88153257650129,J160457.6+325253,55719.0,723.0,4961.0,2CXO J160457.6+325253,2791,2002-01-07,20.4
201109302010047,46,108027103010046,0802710301,68534,150.24738369564,55.860898157932,19442,4XMM J100059.4+555139,150.24787934990104,55.86116342175639,J100059.4+555140,56624.0,522.0,7084.0,2CXO J100059.4+555140,362,2000-04-16,47.7
200813408010018,18,100813408010018,0081340801,54529,183.47295383296,2.9265935851804,19998,4XMM J121353.5+025535,183.47274248035683,2.926636433229848,J121353.4+025535,55633.0,212.0,4749.0,2CXO J121353.4+025535,4110,2003-04-15,10.0
