IAUNAME,CSC21P_name
4XMM J100141.9+020357,2CXO J100141.9+020358
4XMM J100158.2+553135,2CXO J100158.3+553135
4XMM J105048.2+572521,2CXO J105048.1+572521
4XMM J122737.8+084407,2CXO J122737.8+084405
4XMM J134736.4+173404,2CXO J134736.4+173404
4XMM J141249.6-030720,2CXO J141249.7-030719
4XMM J151616.0+561701,2CXO J151616.0+561701
4XMM J160457.7+325254,2CXO J160457.6+325253
4XMM J100059.4+555139,2CXO J100059.4+555140
4XMM J121353.5+025535,2CXO J121353.4+025535
4XMM J022257.9-041840,2CXO J022257.9-041840
4XMM J121802.9+292440,2CXO J121802.9+292440
4XMM J123714.3+620503,2CXO J123714.3+620504
4XMM J021412.2-042338,2CXO J021412.1-042339
4XMM J112422.5+213131,2CXO J112422.6+213132
4XMM J122649.5+311736,2CXO J122649.5+311736
4XMM J142409.2+041607,2CXO J142409.3+041607
4XMM J090933.9+514234,2CXO J090933.9+514237
4XMM J122534.4+053029,2CXO J122534.6+053028
4XMM J123017.8+135220,2CXO J123017.8+135222
4XMM J123519.2+123313,2CXO J123519.2+123314
4XMM J133500.1+375632,2CXO J133500.1+375632
4XMM J153239.4+302610,2CXO J153239.3+302610
4XMM J135345.3+402023,2CXO J135345.3+402021
4XMM J105458.9+573856,2CXO J105459.0+573855
4XMM J090948.6+105633,2CXO J090948.6+105634
4XMM J084902.2+450003,2CXO J084902.2+450004
4XMM J221741.7+000908,2CXO J221741.6+000907
4XMM J021729.0-051850,2CXO J021728.9-051851
4XMM J100157.7+023804,2CXO J100157.7+023804
4XMM J121010.6+392300,2CXO J121010.6+392301
4XMM J004923.8+320015,2CXO J004923.9+320015
4XMM J001544.1+171602,2CXO J001544.1+171602
4XMM J004113.8+252646,2CXO J004113.8+252646
4XMM J105622.0+421808,2CXO J105622.0+421807
4XMM J133329.1+375559,2CXO J133329.1+375558
4XMM J103515.6+393909,2CXO J103515.6+393909
4XMM J234446.3+090538,2CXO J234446.3+090538
4XMM J122546.0+125301,2CXO J122546.1+125301
4XMM J124810.2+175135,2CXO J124810.2+175135
4XMM J130901.4+212243,2CXO J130901.4+212243
4XMM J141604.9+131256,2CXO J141604.8+131257
4XMM J020558.1-061313,2CXO J020558.1-061313
4XMM J141634.7+113332,2CXO J141634.8+113329
4XMM J141644.0+522218,2CXO J141643.9+522219
4XMM J131605.2+420244,2CXO J131605.2+420244
4XMM J083139.0+524205,2CXO J083139.1+524205
4XMM J111703.6+174441,2CXO J111703.5+174440
4XMM J080421.2+100611,2CXO J080421.3+100611
4XMM J132406.8+135428,2CXO J132406.8+135427
4XMM J120746.1+430735,2CXO J120746.1+430736
4XMM J015957.5+003310,2CXO J015957.6+003311
4XMM J091646.0+283527,2CXO J091646.0+283526
4XMM J100713.4+124714,2CXO J100713.2+124712
4XMM J113816.6+215814,2CXO J113816.6+215814
4XMM J124626.9+261904,2CXO J124627.0+261903
4XMM J125909.6-013614,2CXO J125909.6-013615
4XMM J143052.4+331322,2CXO J143052.2+331322
