band_id,Region,X,Y,Radius,Annulus_Inner_Radius,Annulus_Outer_Radius,Net Flux (Jy),Flux Uncertainty,Flag,aperture_sum,tot_bg,Target Counts,Target Flux,Annulus Counts,Annulus Flux,Image Data Shape,Mask Shape,Mask Type,Non-zero mask elements,Flux Conv,MzpInstr,Offset in Arcseconds,Exists?,Point Source Position,Target Error,Annulus Error,Overlap Error (in counts),Overlap Counts
{'W4'},2,384.18707876909957,131.76868566060102,9,16,23,1.2411951741952976e-06,0.011899750912537468,Valid,37801.67062566666,2.031761961159988,37801.67062566666,2.031763202355162,127405.55279570908,6.847790313539219,"(369, 437)","(369, 437)",bool,255,8.363,12.98,[],No,[],0.010450031357197414,0.01918475578042824,[],
{'W4'},3,366.3504722272364,247.7422492690373,9,16,23,6.259495664062698e-05,0.011907960486111193,Valid,37854.10813766477,2.034519017419494,37854.10813766477,2.0345816123761344,127578.43932648696,6.8570826142657015,"(369, 437)","(369, 437)",bool,240,8.363,12.98,[],No,[],0.010457276853673331,0.01919776801325238,[],
{'W4'},4,356.61229617616186,260.11844049158367,9,16,23,0.00011861287565428924,0.011907781393768543,Valid,37853.208001250845,2.034414618992089,37853.208001250845,2.0345332318677434,127571.89282172485,6.856730752899264,"(369, 437)","(369, 437)",bool,241,8.363,12.98,[],No,[],0.010457152520647032,0.01919727545395834,[],
{'W4'},5,337.953951658367,77.23204321131463,9,16,23,0.00025797924451920196,0.011898212315387695,Valid,37792.98897935028,2.0310386022118974,37792.98897935028,2.0312965814564166,127360.193177598,6.845352325973432,"(369, 437)","(369, 437)",bool,251,8.363,12.98,[],No,[],0.010448831295344437,0.019181340345837822,[],
{'W4'},6,281.14775496044336,141.03078982251745,9,16,23,0.0009762821233523233,0.011909875152584674,Valid,37870.171772216425,2.0344687180617846,37870.171772216425,2.035445000185137,127575.28520824062,6.85691308680083,"(369, 437)","(369, 437)",bool,219,8.363,12.98,[8.399903121792557],Point Source Detected,"[(284.4256549340734, 135.87564640212466)]",0.010459495424718574,0.019197530698840296,[],
{'W4'},9,270.5375737979876,254.12560497500385,9,16,23,0.002698868683904454,0.011946826909254032,Valid,38112.836932020924,2.0457888921523906,38112.836932020924,2.048487760836295,128285.13855982808,6.895066266143244,"(369, 437)","(369, 437)",bool,226,8.363,12.98,[],No,[],0.010492953182848807,0.019250865980951833,[],
{'W4'},11,244.42268676214448,191.59675766724166,9,16,23,0.012302686365658566,0.011980261012624747,Valid,38367.27933675783,2.0498608381738457,38367.27933675783,2.0621635245395042,128540.47778939099,6.908790232363702,"(369, 437)","(369, 437)",bool,256,8.363,12.98,[1.6338919810711983],Yes!!,"[(243.3789797697625, 192.1648220806889)]",0.010527920549028723,0.019270014955713115,[],
{'W4'},13,230.85588144617907,154.74216664805692,9,16,23,0.004095847920554618,0.011938976612007202,Valid,38068.72751483029,2.0420211211162775,38068.72751483029,2.046116969036832,128048.8732094375,6.882367482280788,"(369, 437)","(369, 437)",bool,255,8.363,12.98,"[9.892932136731625, 9.311149014562547]",Point Source Detected,"[(224.10739484611082, 152.24738476096556), (236.3207499316335, 158.74113407789656)]",0.010486879480662294,0.019233130455395125,[],
{'W4'},14,227.71563951450554,346.9007995959165,9,16,23,0.03509518201254247,0.011875644421566585,Valid,37798.06909968262,1.996474445618393,37798.06909968262,2.0315696276309354,125192.78106835738,6.728858316713843,"(369, 437)","(369, 437)",bool,256,8.363,12.98,[],No,[],0.010449533535866725,0.019017426232416795,[],
{'W4'},22,168.96990674954895,25.773980081745414,9,16,23,0.00019728518375927706,0.011900057639089554,Valid,37804.45398318992,2.031715516998637,37804.45398318992,2.0319128021823962,127402.64042498653,6.8476337795139255,"(369, 437)","(369, 437)",bool,250,8.363,12.98,[],No,[],0.010450416070855924,0.019184536506467512,[],
