,Galaxy_Name_Reduced
0,NGC 5128
1,MESSIER 086
2,MESSIER 106
3,MESSIER 051
4,MESSIER 082
5,NGC 1569
6,NGC 4697
7,NGC 0253
8,IC 2574
9,NGC 0891
10,NGC 1291:[LFF2012] 084
11,NGC 4631
12,MESSIER 094
13,NGC 4945
14,NGC 0404
15,UGC 06456
16,NGC 6503
17,NGC 4395
18,MESSIER 101
19,NGC 4244
20,NGC 4111
21,NGC 4485
22,MESSIER 104
23,MESSIER 105
24,NGC 2403
25,MESSIER 108
26,NGC 4559
27,NGC 4214
28,NGC 4449
29,NGC 5253
30,NGC 3628
31,NGC 3115
32,MESSIER 074
33,ESO 495- G 021
34,NGC 3077
35,NGC 4051
36,MESSIER 063
37,NGC 7331
38,NGC 0055
39,MESSIER 102
40,NGC 6822
41,NGC 3377
42,NGC 5102
43,NGC 1313
44,NGC 4725
45,NGC 1808
46,NGC 4526
47,NGC 1705
48,NGC 5204
49,NGC 1427A
50,NGC 4565
51,IC 0010
52,NGC 7793
53,NGC 4473
54,NGC 2787
55,NGC 0045
56,NGC 1023
57,NGC 0625
58,Maffei 1
59,IC 1613
60,MESSIER 090
61,MESSIER 095
62,MESSIER 081
63,NGC 2841
64,MESSIER 100
65,NGC 3998
66,NGC 4026
67,NGC 7090
68,Maffei 2
69,NGC 3621
70,NGC 2915
71,MESSIER 081 DWARF A
72,UGC 05423
73,UGC 08201
74,UGC 04459
75,Holmberg I
76,Holmberg IX
77,NGC 4236
78,MESSIER 064
79,NGC 5474
80,NGC 0024
81,MESSIER 066
82,NGC 4625
83,NGC 0855
84,NGC 3198
85,NGC 3521
86,IC 4710
87,NGC 5408
88,NGC 2903
89,NGC 7814
90,NGC 2683
91,NGC 3384
92,NGC 7457
93,NGC 0300
94,NGC 4861
95,NGC 4178
96,MESSIER 083
97,NGC 4088
98,Sextans A
99,NGC 4417
100,MRK 0750
101,NGC 0660
102,NGC 2835
103,NGC 6744
104,NGC 5248
105,NGC 3344
106,NGC 4550
107,NGC 4551
108,NGC 1404
109,MESSIER 049
110,NGC 1559
111,NGC 5866
112,WISEA J024656.39-003305.0
113,MESSIER 099
114,NGC 4460
115,NGC 4536
116,NGC 4302
117,NGC 1792
118,IC342
119,NGC 3287
120,MESSIER 096
