,Seq Num,Obs ID,Instrument,Grating,Appr Exp ,Exposure ,Target Name,PI Name,RA,Dec,Status,Data Mode,Exp Mode ,Avg Cnt Rate,Evt Cnt,Start Date,Public Release Date,Proposal,Science Category,Type,Obs Cycle,Prop Cycle,Joint,Gname
0,600076,316,ACIS-I,NONE,37.0,35.72,NGC 5128,Murray,201.365,-43.019,archived,FAINT,TE,6.918999059,247153.0,12/5/1999 21:36,12/30/2000 9:30,1600065,NORMAL GALAXIES,GTO,1,1,None,NGC 5128
1,600078,318,ACIS-S,NONE,14.5,14.63,NGC 4406,Murray,186.55,12.95,archived,FAINT,TE,14.52306009,212449.0,4/7/2000 7:36,4/20/2001 16:20,1600133,NORMAL GALAXIES,GTO,1,1,None,MESSIER 086
2,700021,349,ACIS-S,NONE,1.0,1.57,NGC 4258,Wilson,184.74099999999999,47.303000000000004,archived,VFAINT,TE,1.397166289,2194.0,3/8/2000 2:23,3/23/2001 10:40,1700035,ACTIVE GALAXIES AND QUASARS,GTO,1,1,None,MESSIER 106
3,700022,350,ACIS-S,NONE,14.5,14.04,NGC 4258,Wilson,184.74099999999999,47.303000000000004,archived,FAINT,TE,11.68287027,164036.0,4/17/2000 10:51,7/17/2001 9:30,1700035,ACTIVE GALAXIES AND QUASARS,GTO,1,1,None,MESSIER 106
4,700025,353,ACIS-S,NONE,1.0,0.82,M51,Wilson,202.468,47.198,archived,VFAINT,TE,1.000493552,822.0,3/21/2000 17:11,4/18/2001 18:30,1700035,ACTIVE GALAXIES AND QUASARS,GTO,1,1,None,MESSIER 051
5,700026,354,ACIS-S,NONE,15.0,14.86,M51,Wilson,202.468,47.198,archived,FAINT,TE,10.22507285,151967.0,6/20/2000 8:02,7/5/2001 15:28,1700035,ACTIVE GALAXIES AND QUASARS,GTO,1,1,None,MESSIER 051
6,700033,361,ACIS-I,NONE,34.0,33.25,M82,Garmire,148.963,69.679,archived,VFAINT,TE,11.19163271,372115.0,9/20/1999 11:21,11/3/2000 0:00,1700041,ACTIVE GALAXIES AND QUASARS,GTO,1,1,None,MESSIER 082
7,700050,378,ACIS-I,NONE,5.0,4.12,M82,Murray,148.946,69.683,archived,FAINT,TE,7.020606612000001,28894.0,12/30/1999 1:50,1/25/2001 9:30,1700066,ACTIVE GALAXIES AND QUASARS,GTO,1,1,None,MESSIER 082
8,700051,379,ACIS-I,NONE,5.0,8.94,M82,Murray,148.946,69.683,archived,VFAINT,TE,10.34783568,92458.0,3/11/2000 19:56,3/30/2001 8:30,1700066,ACTIVE GALAXIES AND QUASARS,GTO,1,1,None,MESSIER 082
9,700052,380,ACIS-I,NONE,5.0,5.0,M82,Murray,148.946,69.683,archived,VFAINT,TE,10.32082989,51583.0,5/7/2000 20:07,7/5/2001 10:00,1700066,ACTIVE GALAXIES AND QUASARS,GTO,1,1,None,MESSIER 082
10,700055,383,ACIS-S,NONE,2.0,2.13,NGC 253,Garmire,11.888,-25.288,archived,FAINT,TE,11.13169698,23740.0,8/16/2000 6:48,8/31/2001 14:55,1700068,ACTIVE GALAXIES AND QUASARS,GTO,1,1,None,NGC 0253
11,700056,384,ACIS-S,NONE,2.0,1.73,NGC 404,Garmire,17.362000000000002,35.718,archived,FAINT,TE,9.033179166,15640.0,8/30/2000 13:37,9/5/2001 17:05,1700068,ACTIVE GALAXIES AND QUASARS,GTO,1,1,None,NGC 0404
12,700060,388,ACIS-S,NONE,1.16,1.15,NGC 2787,Garmire,139.829,69.203,archived,FAINT,TE,6.514963552999999,7486.0,1/7/2000 23:53,3/8/2001 9:40,1700068,ACTIVE GALAXIES AND QUASARS,GTO,1,1,None,NGC 2787
13,700061,389,ACIS-S,NONE,2.0,1.75,NGC 2841,Garmire,140.511,50.976000000000006,archived,FAINT,TE,6.65098488,11634.0,12/20/1999 11:25,1/11/2001 12:15,1700068,ACTIVE GALAXIES AND QUASARS,GTO,1,1,None,NGC 2841
14,700062,390,ACIS-S,NONE,2.0,2.38,NGC 3031,Garmire,148.888,69.065,archived,FAINT,TE,11.69226998,27780.0,3/21/2000 0:41,4/28/2001 9:30,1700068,ACTIVE GALAXIES AND QUASARS,GTO,1,1,None,MESSIER 081
15,700063,391,ACIS-S,NONE,2.0,1.98,NGC 3368,Garmire,161.691,11.82,archived,FAINT,TE,9.407035533,18665.0,11/20/2000 4:34,11/29/2001 14:05,1700068,ACTIVE GALAXIES AND QUASARS,GTO,1,1,None,MESSIER 096
16,700064,392,ACIS-S,NONE,2.0,1.75,NGC 3489,Garmire,165.075,13.902000000000001,archived,FAINT,TE,9.717050502000001,17034.0,11/3/1999 8:16,4/27/2001 10:00,1700068,ACTIVE GALAXIES AND QUASARS,GTO,1,1,None,NGC 3489
